# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x02d154cd9a1affe63e9d35d1db7f5d8f52519e41 10 692 635 635 11006
0x02d22befb5342c46b16f1416e06f212672408a56 8 421 591 591 9536
0x02d509d0af485c8da54d8aeb42c624e7d9e2eeb6 2 106 77 77 7170
0x02d728897d4409a95b80d3be9a89a21cd6971697 5 312 518 518 7304
0x02d9b52c500e3f8f1582bc4c62e725d2b018b2d2 1 44 120 120 6522
0x02db44fb440a140769e3eee9d48d672cf5b702df 4 183 451 451 4538
0x02e95f43ad1b00b231734ef7902add348b90598b 13 758 669 669 8766
0x02f63293d2028a6de37f1d9545e66246a0a45911 1 64 40 40 1226
0x02f7c91c192c6c02700baf82001cb9e9cbf297d3 1 53 94 94 2186
0x02fc490fb12b203c0007c346215916636e31d828 2 106 696 696 8008
0x02fe2567ff12b5bff94336a6b5a986b6116f42f5 2 106 696 696 8008
0x030c56c00649f3a2a447b9b314e22694e18d4d80 2 106 281 281 4302
0x030f6eaf80ffc1f41f673f1c94b559c28c859c3c 3 163 264 264 7152
0x0312deed361db866e9e3a04f35f833783a32e16f 1 53 103 103 1956
0x031359239587424b119c9a686eb24fac7460a0a3 8 503 654 654 7900
0x03157b661b3a986f00582a81c0201f29c1c6319d 3 160 327 327 8050
0x0315d0bad16a452137cd5e7153ac2da78e81d9ba 6 448 544 544 9920
0x031a2abb66d32d60613366bc81e44777043b87b5 4 206 261 261 14018
0x031ead831d328f1aa2203672e82191f147277d3c 2 129 636 636 5724
0x0323cd935be1f11e11f9d0ec26ef2fa7de16b56e 2 106 696 696 8008
0x032520240565142dc5d58d4bf5af8f11ec42a9f6 7 451 518 518 5724
0x03268a43fdc33909292ea0ef6c90ddc5d804a408 2 110 257 257 4990
0x032747313c4e914b5fce356ab8dc4df551972dcd 8 599 708 708 6884
0x032934e7dc6b32015ad37aaad3dbc7e8811ea30f 4 183 451 451 4328
0x03361cb0b247a8a64cf9742fcfb25f3a81662a58 4 215 458 458 4788
0x033d46d15ad9b5653cbe61be97371023acb11f94 2 110 228 228 5864
0x0340868738ec319e4f22743faf7a774ffe590823 5 279 521 521 6562
0x034d4ce58f79c02b628f87f67e4657c7ead39bdf 4 183 1086 1086 8408
0x0350e9ec0a6363dc3ab88a66d3ba1b36bd561677 1 66 56 56 1824
0x0353813310f99e7f26cbee085917d0de5964d386 4 183 451 451 3684
0x035889a38f0d0718d3fd0ecafc2fbd5c52690e63 3 174 282 282 6000
0x035c8119a68a8f762fe2731fa190a5afcba653a3 4 183 1086 1086 8408
0x0360977f2a812174149db52a89448bc85629d3bd 2 105 271 271 1360
0x03632848991f66581147867a30ca631b2ce9ba58 4 183 451 451 4520
0x0364c85e1c6a6d039f95c21831f5dec07052f730 3 159 882 882 11360
0x03674c761f8f48a3219086a76f70b6875ec79a1a 2 117 115 115 1444
0x036955d6d11336991a409dd7a66741336cd32128 4 205 448 448 5108
